@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2}

@data
635,'2017/02/18 17:15:28:322',2,791.355286,861.46521,833.260071,847.765564,807.472534,1
636,'2017/02/18 17:15:28:324',2,747.032959,865.091553,829.633728,853.003662,832.857117,1
637,'2017/02/18 17:15:28:325',2,803.84613,847.36261,830.036621,829.633728,792.967041,1
638,'2017/02/18 17:15:28:326',2,865.091553,838.498169,841.721619,844.945068,860.659363,1
639,'2017/02/18 17:15:28:328',2,746.630066,866.703308,821.978027,839.304016,858.644714,1
640,'2017/02/18 17:15:28:329',2,925.128235,841.318665,843.736267,863.479858,843.736267,1
641,'2017/02/18 17:15:28:331',2,839.70697,868.717957,819.560425,796.593384,813.113525,1
642,'2017/02/18 17:15:28:332',2,902.564087,823.589722,844.139221,864.68866,830.439575,1
643,'2017/02/18 17:15:28:333',2,933.589722,823.589722,832.857117,870.732605,824.39563,1
644,'2017/02/18 17:15:28:335',2,948.901123,842.124512,828.82782,790.146545,842.93042,1
645,'2017/02/18 17:15:28:338',2,1006.520142,838.095215,828.82782,845.750916,819.157532,1
646,'2017/02/18 17:15:28:339',2,892.893799,861.868103,830.036621,803.443237,808.681335,1
647,'2017/02/18 17:15:28:340',2,898.937744,835.274719,840.512817,816.336975,842.527466,1
648,'2017/02/18 17:15:28:341',2,936.410278,848.974365,836.886475,751.062256,836.080566,1
649,'2017/02/18 17:15:28:341',2,990.805847,853.406616,844.139221,889.267395,837.289368,1
650,'2017/02/18 17:15:28:342',2,913.84613,842.124512,840.512817,827.216125,782.490845,1
651,'2017/02/18 17:15:28:347',2,862.674011,849.780212,843.333313,785.31134,826.007324,1
652,'2017/02/18 17:15:28:347',2,885.641052,854.615356,836.483521,814.725281,801.025635,1
653,'2017/02/18 17:15:28:348',2,872.344299,853.406616,837.289368,863.076904,836.483521,1
654,'2017/02/18 17:15:28:350',2,826.410278,853.809509,849.377319,817.142883,831.245422,1
655,'2017/02/18 17:15:28:351',2,800.219788,851.794861,858.24176,832.454224,812.307678,1
656,'2017/02/18 17:15:28:354',2,784.908447,842.93042,860.659363,874.761902,816.336975,1
657,'2017/02/18 17:15:28:355',2,769.194153,846.556763,851.794861,852.197815,878.791199,1
658,'2017/02/18 17:15:28:355',2,752.271057,851.794861,848.168518,812.307678,846.959717,1
659,'2017/02/18 17:15:28:356',2,754.68866,855.018311,847.765564,872.747253,816.336975,1
660,'2017/02/18 17:15:28:357',2,778.461548,853.003662,841.318665,859.450562,856.227112,1
661,'2017/02/18 17:15:28:358',2,770.805847,855.018311,845.347961,829.633728,875.164856,1
